Geo Point;Geo Shape;Código;Nombre;Categoria;Actividad;Dirección;Teléfono;Pagina web
4.659356689000049,-74.1084108679999;"{""coordinates"": [-74.1084108679999, 4.659356689000049], ""type"": ""Point""}";01030148;Hotel Marriot Bogotá;1;3;AC 26 69B 53;4851111;
4.677139251000084,-74.04683761699994;"{""coordinates"": [-74.04683761699994, 4.677139251000084], ""type"": ""Point""}";01030156;Hotel Pavillon Royal;1;3;CL 94 11 45;6502555;
4.602319734000048,-74.0695238909999;"{""coordinates"": [-74.0695238909999, 4.602319734000048], ""type"": ""Point""}";01030159;Hotel Quinta de Bolívar;1;3;KR 4 17 59;3376500;
4.63000270200007,-74.09442953799993;"{""coordinates"": [-74.09442953799993, 4.63000270200007], ""type"": ""Point""}";01030160;Hotel Quinta Paredes Inn;1;3;KR 40 22 69;2441533;
4.646105158000069,-74.0681104689999;"{""coordinates"": [-74.0681104689999, 4.646105158000069], ""type"": ""Point""}";01030170;Hotel San Luis Bogotá;1;3;KR 17 58A 40;2171411;
4.632679818000042,-74.0943439529999;"{""coordinates"": [-74.0943439529999, 4.632679818000042], ""type"": ""Point""}";01030173;Hotel San Rafael;1;3;AC 24 43A 49;2686858;
4.600410772000089,-74.07019669699991;"{""coordinates"": [-74.07019669699991, 4.600410772000089], ""type"": ""Point""}";01030174;Hotel San Sebastián;1;3;AV JIMENEZ 3 97;3375031;
4.53942750300007,-74.11416447899995;"{""coordinates"": [-74.11416447899995, 4.53942750300007], ""type"": ""Point""}";05150018;Salón del Reino de Los Testigos de Jehová;5;15;TV 1A BIS ESTE 54B 07 SUR;;
4.563807289000066,-74.09100783499991;"{""coordinates"": [-74.09100783499991, 4.563807289000066], ""type"": ""Point""}";05150025;Parroquia Sagrados Corazones;5;15;KR 1 ESTE 28 65 SUR;;
4.625735761000044,-74.0707052219999;"{""coordinates"": [-74.0707052219999, 4.625735761000044], ""type"": ""Point""}";06220026;Partido de la U;6;22;KR 16 36 95;;
4.6871412800000485,-74.05261758999988;"{""coordinates"": [-74.05261758999988, 4.6871412800000485], ""type"": ""Point""}";06230001;Embajada de Egipto;6;23;KR 19A 101 10;;
4.674420275000045,-74.0473496909999;"{""coordinates"": [-74.0473496909999, 4.674420275000045], ""type"": ""Point""}";06230003;Embajada de Francia;6;23;AK 11 93 12;;http://www.ambafrance-co.org/-Espanol-
4.672756370000058,-74.04519488499993;"{""coordinates"": [-74.04519488499993, 4.672756370000058], ""type"": ""Point""}";06230010;Embajada de la República de Cuba;6;23;KR 9 92 54;;
4.69158234300005,-74.03543068699992;"{""coordinates"": [-74.03543068699992, 4.69158234300005], ""type"": ""Point""}";06230017;Embajada de México;6;23;CL 113 7 21 Torre A Ofi 204;;www.sre.gob.mx/colombia
4.6726006020000455,-74.05377313399993;"{""coordinates"": [-74.05377313399993, 4.6726006020000455], ""type"": ""Point""}";01030187;Hotel Virrey Park;1;3;KR 15 87 94;2181625;
4.621673350000037,-74.06798324299989;"{""coordinates"": [-74.06798324299989, 4.621673350000037], ""type"": ""Point""}";01030195;Master Centro Internacional;1;3;CL 34 7 87;2887007;
4.653722907000088,-74.05438713099994;"{""coordinates"": [-74.05438713099994, 4.653722907000088], ""type"": ""Point""}";01030200;Rosales Plaza;1;3;CL 71A 5 47;3171100;
4.674718366000093,-74.0489046109999;"{""coordinates"": [-74.0489046109999, 4.674718366000093], ""type"": ""Point""}";01030218;Hotel Avia 93;1;3;CL 93 11A 31;7051555;
4.704265958000065,-74.04603303499994;"{""coordinates"": [-74.04603303499994, 4.704265958000065], ""type"": ""Point""}";01020155;Tienda Farmatodo;1;2;CL 127 17 A 27;7432100;www.farmatodo.com.co
4.672031623000066,-74.12595140799993;"{""coordinates"": [-74.12595140799993, 4.672031623000066], ""type"": ""Point""}";01020158;Tienda Farmatodo;1;2;KR 90 23J 22;7432100;www.farmatodo.com.co
4.690625537000074,-74.04550480899991;"{""coordinates"": [-74.04550480899991, 4.690625537000074], ""type"": ""Point""}";01020160;Tienda Farmatodo;1;2;AK 15 106 18 LC 1;6295052;www.farmatodo.com.co
